,Name,Scores
0,['yellowBlock'],[0.1331783]
1,['yellowBlock'],[0.13340004]
2,['yellowBlock'],[0.14999837]
3,['yellowBlock'],[0.15010053]
4,['yellowBlock'],[0.14609095]
5,['yellowBlock'],[0.1242061]
6,['yellowBlock'],[0.12674011]
7,['yellowBlock'],[0.13524951]
8,['yellowBlock'],[0.12952977]
9,['yellowBlock'],[0.12934336]
10,['yellowBlock' 'yellowBlock'],"[0.14158979, 0.10448801]"
11,['yellowBlock'],[0.14690301]
12,['yellowBlock'],[0.14464393]
13,['yellowBlock'],[0.1240208]
14,['yellowBlock'],[0.13265184]
15,['yellowBlock'],[0.10760685]
16,['yellowBlock'],[0.10709312]
17,['yellowBlock'],[0.11150506]
18,['yellowBlock'],[0.103875145]
19,['yellowBlock'],[0.10363068]
20,[],[]
21,['yellowBlock'],[0.114650406]
22,['yellowBlock'],[0.11870351]
23,['yellowBlock'],[0.13458408]
24,['yellowBlock'],[0.10662274]
25,['yellowBlock'],[0.10485464]
26,['yellowBlock'],[0.11750235]
27,['yellowBlock' 'yellowBlock'],"[0.13351408, 0.11362617]"
28,['yellowBlock'],[0.11889113]
29,['yellowBlock'],[0.102338366]
30,['yellowBlock'],[0.10038192]
31,[],[]
32,[],[]
33,[],[]
34,[],[]
35,['yellowBlock' 'yellowBlock'],"[0.10413961, 0.13490038]"
36,['yellowBlock' 'yellowBlock'],"[0.11998012, 0.13657111]"
37,['yellowBlock' 'yellowBlock'],"[0.13371791, 0.14289777]"
38,['yellowBlock' 'yellowBlock'],"[0.10026679, 0.1618913]"
39,['yellowBlock' 'yellowBlock'],"[0.12255412, 0.13097577]"
40,['yellowBlock' 'yellowBlock'],"[0.12929943, 0.1273381]"
41,['yellowBlock' 'yellowBlock'],"[0.10859631, 0.151408]"
42,['yellowBlock' 'yellowBlock' 'yellowBlock'],"[0.11818675, 0.13177216, 0.10180824]"
43,['yellowBlock' 'yellowBlock'],"[0.15508544, 0.16206598]"
44,['yellowBlock' 'yellowBlock'],"[0.15175176, 0.17608602]"
45,['yellowBlock' 'yellowBlock'],"[0.1964171, 0.1508899]"
46,['yellowBlock' 'yellowBlock'],"[0.19601098, 0.17981991]"
47,['yellowBlock' 'yellowBlock' 'yellowBlock'],"[0.120395206, 0.11246442, 0.15267828]"
48,['yellowBlock' 'yellowBlock' 'yellowBlock' 'yellowBlock'],"[0.12750533, 0.14479765, 0.10521698, 0.2313246]"
49,['yellowBlock' 'yellowBlock' 'yellowBlock'],"[0.103827335, 0.11841817, 0.19887343]"
